Index,Fuel Type Code,Street Address,State,Latitude,Longitude
11460,ELEC,1380 E. 70th Street,LA,32.443437,-93.727349
11461,ELEC,1001 N Washington Ave,PA,41.417829,-75.652966
11462,ELEC,320 Seven Springs Way,TN,36.041618,-86.770424
11463,ELEC,5501 N Hacienda Del Sol Rd,AZ,32.307171,-110.915041
11464,ELEC,595 NE 69th St @ The Heights Linden Square Ap,MO,39.219715,-94.57337
11465,ELEC,615 E Williams Ave,NV,39.475259,-118.767941
11466,ELEC,1107 NE 9th Ave,OR,45.530904,-122.656662
11467,ELEC,7512 NE Antioch Rd @ Gladstone Happy Rock Par,MO,39.230666,-94.536592
11468,ELEC,1450 Ala Moana Blvd,HI,21.291831,-157.843532
11469,ELEC,4380 Lawehana St,HI,21.354468,-157.929279
11470,ELEC,391 Makaala St,HI,19.7009475,-155.059967
11471,ELEC,19 Duncan St,GA,34.87995,-83.401835
11472,ELEC,12701 Hill Country Blvd,TX,30.307769,-97.93863
11473,ELEC,Hartsfield Dr SW,GA,33.653832,-84.423689
11474,ELEC,1220 S St Francis Dr,NM,35.669195,-105.957088
11475,ELEC,2960 E Fry Blvd,AZ,31.554201,-110.268313
11476,ELEC,235 Miracle Strip Pkwy SW,FL,30.406518,-86.62978
